gameid,date_time,away_id,away_score,home_id,home_score
323142026,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2410,54,2026,86
323142031,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2630,68,2031,84
323140356,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2142,55,356,75
323142046,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2535,64,2046,75
323142097,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2047,55,2097,74
323142133,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2569,81,2133,62
323142174,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),128,53,2174,88
323142166,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2212,67,2166,93
323142199,Fri Nov 09 2012 12:00:00 GMT-0500 (Eastern Standard Time),2947,52,2199,66
323142244,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),258,59,2244,63
323142250,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),253,65,2250,103
323142057,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2057,89,288,60
323142198,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),3093,56,2198,89
323142272,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2430,73,2272,81
323142277,Fri Nov 09 2012 21:30:00 GMT-0500 (Eastern Standard Time),2277,72,2029,68
323142305,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2546,55,2305,74
323142306,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),155,52,2306,85
323142294,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),292,55,2294,86
323142309,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2182,62,2309,66
323142351,Fri Nov 09 2012 22:00:00 GMT-0500 (Eastern Standard Time),3184,49,2351,108
323142368,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2619,60,2368,57
323142352,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2066,45,2352,71
323142350,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2649,50,2350,62
323142393,Fri Nov 09 2012 20:45:00 GMT-0500 (Eastern Standard Time),2011,53,2393,97
323142341,Fri Nov 09 2012 17:45:00 GMT-0500 (Eastern Standard Time),2413,77,2341,74
323142390,Fri Nov 09 2012 17:30:00 GMT-0500 (Eastern Standard Time),56,79,2390,87
323142377,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2347,54,2377,72
323142426,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2372,48,2426,75
323142415,Fri Nov 09 2012 17:00:00 GMT-0500 (Eastern Standard Time),2415,71,2636,59
323142405,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2275,62,2405,91
323142427,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2717,61,2427,71
323142437,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2459,64,2437,77
323142429,Fri Nov 09 2012 18:00:00 GMT-0500 (Eastern Standard Time),2127,58,2429,68
323142448,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2256,52,2448,83
323142443,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),23,68,2443,72
323142449,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),628,47,2449,93
323142463,Fri Nov 09 2012 22:30:00 GMT-0500 (Eastern Standard Time),2492,75,2463,81
323142473,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2790,62,2473,96
323142542,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),3174,62,2542,84
323142520,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2523,54,2520,79
323142502,Fri Nov 09 2012 23:05:00 GMT-0500 (Eastern Standard Time),205,58,2502,77
323142509,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2083,70,2509,65
323142550,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),140,36,2550,75
323142466,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2194,77,2466,118
323142561,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),261,54,2561,53
323142628,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),13,46,2628,53
323142617,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2758,30,2617,84
323142623,Fri Nov 09 2012 20:05:00 GMT-0500 (Eastern Standard Time),2494,61,2623,89
323142633,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),338,67,2633,76
323142638,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),198,49,2638,69
323142670,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),526,57,2670,80
323142692,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),3188,52,2692,110
323142641,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2504,79,2641,89
323142674,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),290,54,2674,85
323142729,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2261,51,2729,69
323150009,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),2110,64,9,79
323150005,Sat Nov 10 2012 21:00:00 GMT-0500 (Eastern Standard Time),3219,59,5,105
323142752,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),161,75,2752,117
323150042,Sat Nov 10 2012 15:00:00 GMT-0500 (Eastern Standard Time),2514,65,42,61
323150043,Sat Nov 10 2012 17:30:00 GMT-0500 (Eastern Standard Time),2529,85,43,82
323150058,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),2116,74,58,56
323142934,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),250,62,2934,60
323150107,Sat Nov 10 2012 17:00:00 GMT-0500 (Eastern Standard Time),2636,60,107,56
323150045,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2754,80,45,73
323150047,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2339,68,47,62
323150087,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),339,49,87,58
323150142,Sat Nov 10 2012 17:00:00 GMT-0500 (Eastern Standard Time),2565,69,142,83
323150160,Sat Nov 10 2012 13:00:00 GMT-0500 (Eastern Standard Time),383,51,160,91
323150151,Sat Nov 10 2012 17:00:00 GMT-0500 (Eastern Standard Time),2688,50,151,72
323150159,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),311,54,159,67
323150195,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2501,52,195,81
323150172,Sat Nov 10 2012 12:00:00 GMT-0500 (Eastern Standard Time),2711,55,172,63
323150238,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2447,65,238,80
323150242,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),3170,72,242,59
323150231,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),171,68,231,47
323150259,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2193,62,259,80
323150265,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),331,69,265,88
323150279,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2868,38,279,76
323150295,Sat Nov 10 2012 19:15:00 GMT-0500 (Eastern Standard Time),2415,61,295,72
323150299,Sat Nov 10 2012 18:00:00 GMT-0500 (Eastern Standard Time),2453,65,299,75
323150300,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2440,64,300,78
323150328,Sat Nov 10 2012 21:05:00 GMT-0500 (Eastern Standard Time),304,48,328,56
323150357,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),2639,49,357,60
323152115,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),2217,64,2115,63
323152084,Sat Nov 10 2012 12:00:00 GMT-0500 (Eastern Standard Time),163,57,2084,53
323150349,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2005,76,349,65
323152086,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2210,59,2086,74
323152169,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),461,56,2169,74
323152168,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2032,61,2168,74
323152181,Sat Nov 10 2012 12:00:00 GMT-0500 (Eastern Standard Time),2911,66,2181,96
323152325,Sat Nov 10 2012 15:00:00 GMT-0500 (Eastern Standard Time),48,66,2325,73
323152241,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),2157,39,2241,77
323152460,Sat Nov 10 2012 13:00:00 GMT-0500 (Eastern Standard Time),2685,50,2460,103
323152454,Sat Nov 10 2012 19:00:00 GMT-0500 (Eastern Standard Time),2206,65,2454,79
323152382,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2553,36,2382,65
323152458,Sat Nov 10 2012 15:05:00 GMT-0500 (Eastern Standard Time),3154,81,2458,127
323152483,Sat Nov 10 2012 19:30:00 GMT-0500 (Eastern Standard Time),2464,73,2483,83
323152507,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2885,63,2507,64
323152541,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),612,66,2541,106
323152572,Sat Nov 10 2012 20:30:00 GMT-0500 (Eastern Standard Time),98,64,2572,67
323152608,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2574,69,2608,95
323152643,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2678,76,2643,84
323152635,Sat Nov 10 2012 21:00:00 GMT-0500 (Eastern Standard Time),3168,32,2635,107
323152737,Sat Nov 10 2012 16:00:00 GMT-0500 (Eastern Standard Time),2592,48,2737,80
323152739,Sat Nov 10 2012 14:00:00 GMT-0500 (Eastern Standard Time),2130,67,2739,72
323152724,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),2428,57,2724,71
323152710,Sat Nov 10 2012 20:00:00 GMT-0500 (Eastern Standard Time),89,39,2710,71
323152751,Sat Nov 10 2012 22:00:00 GMT-0500 (Eastern Standard Time),2714,42,2751,62
323160055,Sun Nov 11 2012 15:00:00 GMT-0500 (Eastern Standard Time),2199,54,55,61
323160025,Sun Nov 11 2012 22:00:00 GMT-0500 (Eastern Standard Time),2934,65,25,78
323160012,Sun Nov 11 2012 18:00:00 GMT-0500 (Eastern Standard Time),2127,73,12,82
323160057,Sun Nov 11 2012 15:30:00 GMT-0500 (Eastern Standard Time),2011,35,57,84
323160046,Sun Nov 11 2012 18:30:00 GMT-0500 (Eastern Standard Time),2184,55,46,61
323160021,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),183,62,21,49
323160062,Sun Nov 11 2012 22:00:00 GMT-0500 (Eastern Standard Time),2029,54,62,81
323160082,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),27,52,82,59
323160097,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),2363,51,97,79
323160103,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2229,70,103,84
323160068,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),2640,63,68,81
323160153,Sun Nov 11 2012 14:30:00 GMT-0500 (Eastern Standard Time),2226,56,153,80
323160194,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),399,60,194,82
323160158,Sun Nov 11 2012 19:00:00 GMT-0500 (Eastern Standard Time),2582,55,158,66
323160201,Sun Nov 11 2012 15:00:00 GMT-0500 (Eastern Standard Time),2433,51,201,85
323160204,Sun Nov 11 2012 21:30:00 GMT-0500 (Eastern Standard Time),166,62,204,71
323160107,Sun Nov 11 2012 16:15:00 GMT-0500 (Eastern Standard Time),107,74,2415,73
323160222,Sun Nov 11 2012 13:00:00 GMT-0500 (Eastern Standard Time),276,68,222,80
323160269,Sun Nov 11 2012 16:30:00 GMT-0500 (Eastern Standard Time),2142,63,269,84
323160202,Sun Nov 11 2012 20:05:00 GMT-0500 (Eastern Standard Time),2353,54,202,110
323160239,Sun Nov 11 2012 17:00:00 GMT-0500 (Eastern Standard Time),2296,47,239,78
323160264,Sun Nov 11 2012 20:00:00 GMT-0500 (Eastern Standard Time),2352,63,264,85
323160275,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2545,47,275,87
323160295,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2636,79,295,70
323160309,Sun Nov 11 2012 17:00:00 GMT-0500 (Eastern Standard Time),2473,79,309,90
323160350,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2427,59,350,67
323160333,Sun Nov 11 2012 17:00:00 GMT-0500 (Eastern Standard Time),2695,49,333,80
323162066,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),225,58,2066,49
323162016,Sun Nov 11 2012 16:00:00 GMT-0500 (Eastern Standard Time),3083,41,2016,85
323162050,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2755,51,2050,78
323162277,Sun Nov 11 2012 19:30:00 GMT-0500 (Eastern Standard Time),2379,55,2277,70
323162426,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2561,54,2426,49
323162132,Sun Nov 11 2012 14:00:00 GMT-0500 (Eastern Standard Time),2630,57,2132,80
323162504,Sun Nov 11 2012 17:00:00 GMT-0500 (Eastern Standard Time),2544,51,2504,80
323162547,Sun Nov 11 2012 21:00:00 GMT-0500 (Eastern Standard Time),147,72,2547,87
