espn_id,espn_school,espn_school_stripped
2450,norfolk-state-spartans,norfolk-state
2454,north-florida-ospreys,north-florida
2458,northern-colorado-bears,northern-colorado
2459,northern-illinois-huskies,northern-illinois
2460,northern-iowa-panthers,northern-iowa
2463,cal-state-northridge-matadors,cal-state-northridge
2464,northern-arizona-lumberjacks,northern-arizona
2466,northwestern-state-demons,northwestern-state
2473,oakland-golden-grizzlies,oakland
248,houston-cougars,houston
2483,oregon-ducks,oregon
249,north-texas-mean-green,north-texas
2492,pepperdine-waves,pepperdine
25,california-golden-bears,california
250,texas-arlington-mavericks,texas-arlington
2501,portland-pilots,portland
2502,portland-state-vikings,portland-state
2504,prairie-view-a&m-panthers,prairie-view
2506,presbyterian-blue-hose,presbyterian
2507,providence-friars,providence
2509,purdue-boilermakers,purdue
251,texas-longhorns,texas
2514,quinnipiac-bobcats,quinnipiac
2515,radford-highlanders,radford
252,brigham-young-cougars,brigham-young
2520,rider-broncs,rider
2523,robert-morris-colonials,robert-morris
2529,sacred-heart-pioneers,sacred-heart
253,southern-utah-thunderbirds,southern-utah
2534,sam-houston-state-bearkats,sam-houston-state
2535,samford-bulldogs,samford
2539,san-francisco-dons,san-francisco
254,utah-utes,utah
2540,uc-santa-barbara-gauchos,california-santa-barbara
2541,santa-clara-broncos,santa-clara
2542,savannah-state-tigers,savannah-state
2545,southeastern-louisiana-lions,southeastern-louisiana
2546,southeast-missouri-state-redhawks,southeast-missouri-state
2547,seattle-redhawks,seattle
2550,seton-hall-pirates,seton-hall
256,james-madison-dukes,james-madison
2561,siena-saints,siena
2565,siu-edwardsville-cougars,southern-illinois-edwardsville
2567,southern-methodist-mustangs,southern-methodist
2569,south-carolina-state-bulldogs,south-carolina-state
257,richmond-spiders,richmond
2571,south-dakota-state-jackrabbits,south-dakota-state
2572,southern-miss-golden-eagles,southern-mississisppi
2579,south-carolina-gamecocks,south-carolina
258,virginia-cavaliers,virginia
2582,southern-university-jaguars,southern
259,virginia-tech-hokies,virginia-tech
2597,st.-francis-(ny)-terriers,st-francis-ny
2598,st.-francis-u-red-flash,st-francis-pa
2599,st.-john's-red-storm,st-johns-ny
26,ucla-bruins,ucla
2603,saint-joseph's-hawks,saint-josephs
2608,saint-mary's-gaels,saint-marys-ca
261,vermont-catamounts,vermont
2612,st.-peter's-peacocks,saint-peters
2617,stephen-f.-austin-lumberjacks,stephen-f-austin
2619,stony-brook-seawolves,stony-brook
2623,missouri-state-bears,missouri-state
2628,tcu-horned-frogs,texas-christian
2630,tennessee-martin-skyhawks,tennessee-martin
2633,tennessee-volunteers,tennessee
2634,tennessee-state-tigers,tennessee-state
2635,tennessee-tech-golden-eagles,tennessee-tech
2636,utsa-roadrunners,utsa
2638,utep-miners,utep
264,washington-huskies,washington
2640,texas-southern-tigers,texas-southern
2641,texas-tech-red-raiders,texas-tech
2643,citadel-bulldogs,citadel
2649,toledo-rockets,toledo
265,washington-state-cougars,washington-state
2653,troy-trojans,troy
2655,tulane-green-wave,tulane
2670,virginia-commonwealth-rams,virginia-commonwealth
2674,valparaiso-crusaders,valparaiso
2678,virginia-military-keydets,virginia-military-institute
2681,wagner-seahawks,wagner
269,marquette-golden-eagles,marquette
2692,weber-state-wildcats,weber-state
27,uc-riverside-highlanders,california-riverside
270,milwaukee-panthers,milwaukee
2710,western-illinois-leathernecks,western-illinois
2711,western-michigan-broncos,western-michigan
2717,western-carolina-catamounts,western-carolina
2724,wichita-state-shockers,wichita-state
2729,william-&-mary-tribe,william-mary
2737,winthrop-eagles,winthrop
2739,green-bay-phoenix,green-bay
2747,wofford-terriers,wofford
275,wisconsin-badgers,wisconsin
2750,wright-state-raiders,wright-state
2751,wyoming-cowboys,wyoming
2752,xavier-musketeers,xavier
2754,youngstown-state-penguins,youngstown-state
2755,grambling-state-tigers,grambling
276,marshall-thundering-herd,marshall
277,west-virginia-mountaineers,west-virginia
278,fresno-state-bulldogs,fresno-state
279,pacific-tigers,pacific
2803,bryant-university-bulldogs,bryant
282,indiana-state-sycamores,indiana-state
2870,ipfw-mastodons,ipfw
288,lipscomb-bisons,lipscomb
2885,n.j.i.t.-highlanders,njit
290,georgia-southern-eagles,georgia-southern
2908,usc-upstate-spartans,south-carolina-upstate
2916,incarnate-word-cardinals,incarnate-word
292,texas-pan-american-broncs,texas-pan-american
2934,cal-state-bakersfield-roadrunners,cal-state-bakersfield
294,jacksonville-dolphins,jacksonville
295,old-dominion-monarchs,old-dominion
299,long-beach-state-49ers,long-beach-state
30,usc-trojans,usc
300,uc-irvine-anteaters,california-irvine
301,san-diego-toreros,san-diego
302,uc-davis-aggies,california-davis
304,idaho-state-bengals,idaho-state
305,depaul-blue-demons,depaul
3084,utah-valley-wolverines,utah-valley
309,louisiana-lafayette-ragin'-cajuns,louisiana-lafayette
311,maine-black-bears,maine
314,iona-gaels,iona
315,niagara-purple-eagles,niagara
322,lafayette-leopards,lafayette
324,coastal-carolina-chanticleers,coastal-carolina
325,cleveland-state-vikings,cleveland-state
326,texas-state-bobcats,texas-state
328,utah-state-aggies,utah-state
331,eastern-washington-eagles,eastern-washington
333,alabama-crimson-tide,alabama
338,kennesaw-state-owls,kennesaw-state
339,evansville-aces,evansville
344,mississippi-state-bulldogs,mississippi-state
349,army-black-knights,army
350,north-carolina-wilmington-seahawks,north-carolina-wilmington
356,illinois-fighting-illini,illinois
357,texas-a&m-cc-islanders,texas-am
36,colorado-state-rams,colorado-state
38,colorado-buffaloes,colorado
399,albany-great-danes,albany-ny
41,connecticut-huskies,connecticut
42,hartford-hawks,hartford
43,yale-bulldogs,yale
44,american-university-eagles,american
45,george-washington-colonials,george-washington
46,georgetown-hoyas,georgetown
47,howard-bison,howard
48,delaware-fightin-blue-hens,delaware
5,uab-blazers,uab
50,florida-a&m-rattlers,florida-am
52,florida-state-seminoles,florida-state
526,florida-gulf-coast-eagles,florida-gulf-coast
55,jacksonville-state-gamecocks,jacksonville-state
56,stetson-hatters,stetson
57,florida-gators,florida
58,south-florida-bulls,south-florida
59,georgia-tech-yellow-jackets,georgia-tech
6,south-alabama-jaguars,south-alabama
61,georgia-bulldogs,georgia
62,hawaii-warriors,hawaii
66,iowa-state-cyclones,iowa-state
68,boise-state-broncos,boise-state
70,idaho-vandals,idaho
71,bradley-braves,bradley
77,northwestern-wildcats,northwestern
79,southern-illinois-salukis,southern-illinois
8,arkansas-razorbacks,arkansas
82,illinois-chicago-flames,illinois-chicago
84,indiana-hoosiers,indiana
85,iupui-jaguars,iupui
87,notre-dame-fighting-irish,notre-dame
9,arizona-state-sun-devils,arizona-state
93,murray-state-racers,murray-state
94,northern-kentucky-norse,northern-kentucky
96,kentucky-wildcats,kentucky
97,louisville-cardinals,louisville
98,western-kentucky-hilltoppers,western-kentucky
99,lsu-tigers,lsu
