espn_id,sportsref_id,teamrankings_id,friendly_school,friendly_full,conf_abbrev,conf_friendly,conf_sportsref_id
2502,portland-state,portland-st-vikings,Portland State,Portland St. Vikings,Big Sky,Big Sky,big-sky
2504,prairie-view,prairie-view-am-panthers,Prairie View,Prairie View Am Panthers,SWAC,Southwest Athletic,swac
2506,presbyterian,presbyterian-blue-hose,Presbyterian,Presbyterian Blue Hose,Big South,Big South,big-south
2507,providence,providence-friars,Providence,Providence Friars,Big East,Big East,big-east
2509,purdue,purdue-boilermakers,Purdue,Purdue Boilermakers,Big Ten,Big Ten,big-ten
251,texas,texas-longhorns,Texas,Texas Longhorns,Big 12,Big 12,big-12
2514,quinnipiac,quinnipiac-bobcats,Quinnipiac,Quinnipiac Bobcats,NEC,Northeast,northeast
2515,radford,radford-highlanders,Radford,Radford Highlanders,Big South,Big South,big-south
252,brigham-young,brigham-young-cougars,Brigham Young,Brigham Young Cougars,WCC,West Coast,wcc
2520,rider,rider-broncs,Rider,Rider Broncs,MAAC,Metro Atlantic Athletic,maac
2523,robert-morris,robert-morris-colonials,Robert Morris,Robert Morris Colonials,NEC,Northeast,northeast
2529,sacred-heart,sacred-heart-pioneers,Sacred Heart,Sacred Heart Pioneers,NEC,Northeast,northeast
253,southern-utah,southern-utah-thunderbirds,Southern Utah,Southern Utah Thunderbirds,Big Sky,Big Sky,big-sky
2534,sam-houston-state,sam-houston-st-bearkats,Sam Houston State,Sam Houston St. Bearkats,Southland,Southland,southland
2535,samford,samford-bulldogs,Samford,Samford Bulldogs,Southern,Southern,southern
2539,san-francisco,san-francisco-dons,San Francisco,San Francisco Dons,WCC,West Coast,wcc
254,utah,utah-utes,Utah,Utah Utes,Pac-12,Pacific-12,pac-12
2540,california-santa-barbara,uc-santa-barbara-gauchos,UC Santa Barbara,UC Santa Barbara Gauchos,Big West,Big West,big-west
2541,santa-clara,santa-clara-broncos,Santa Clara,Santa Clara Broncos,WCC,West Coast,wcc
2542,savannah-state,savannah-state-tigers,Savannah State,Savannah State Tigers,MEAC,Mid-Eastern Athletic,meac
2545,southeastern-louisiana,southeastern-louisiana-lions,Southeastern Louisiana,Southeastern Louisiana Lions,Southland,Southland,southland
2546,southeast-missouri-state,se-missouri-st-redhawks,Southeast Missouri State,Se Missouri St. Redhawks,OVC,Ohio Valley,ovc
2547,seattle,seattle-redhawks,Seattle,Seattle Redhawks,WAC,Western Athletic,wac
2550,seton-hall,seton-hall-pirates,Seton Hall,Seton Hall Pirates,Big East,Big East,big-east
256,james-madison,james-madison-dukes,James Madison,James Madison Dukes,CAA,Colonial Athletic Association,colonial
2561,siena,siena-saints,Siena,Siena Saints,MAAC,Metro Atlantic Athletic,maac
2565,southern-illinois-edwardsville,siu-edwardsville-cougars,SIU Edwardsville,Siu Edwardsville Cougars,OVC,Ohio Valley,ovc
2567,southern-methodist,southern-methodist-mustangs,Southern Methodist,Southern Methodist Mustangs,CUSA,Conference USA,cusa
2569,south-carolina-state,south-carolina-state-bulldogs,South Carolina State,South Carolina State Bulldogs,MEAC,Mid-Eastern Athletic,meac
257,richmond,richmond-spiders,Richmond,Richmond Spiders,A-10,Atlantic 10,atlantic-10
2571,south-dakota-state,south-dakota-state-jackrabbits,South Dakota State,South Dakota State Jackrabbits,Summit,Summit League,summit
2572,southern-mississippi,southern-miss-golden-eagles,Southern Mississippi,Southern Miss Golden Eagles,CUSA,Conference USA,cusa
2579,south-carolina,south-carolina-gamecocks,South Carolina,South Carolina Gamecocks,SEC,Southeastern,sec
258,virginia,virginia-cavaliers,Virginia,Virginia Cavaliers,ACC,Atlantic Coast,acc
2582,southern,southern-jaguars,Southern,Southern Jaguars,SWAC,Southwest Athletic,swac
259,virginia-tech,virginia-tech-hokies,Virginia Tech,Virginia Tech Hokies,ACC,Atlantic Coast,acc
2597,st-francis-ny,st-francis-ny-terriers,St. Francis (NY),St. Francis (NY) Terriers,NEC,Northeast,northeast
2598,saint-francis-pa,st-francis-pa-red-flash,St. Francis (PA),St. Francis (PA) Red Flash,NEC,Northeast,northeast
2599,st-johns-ny,st-johns-red-storm,St. John's,St. John's Red Storm,Big East,Big East,big-east
26,ucla,ucla-bruins,UCLA,UCLA Bruins,Pac-12,Pacific-12,pac-12
2603,saint-josephs,st-josephs-hawks,Saint Joseph's,St. Josephs Hawks,A-10,Atlantic 10,atlantic-10
2608,saint-marys-ca,st-marys-gaels,Saint Mary's (CA),St. Marys Gaels,WCC,West Coast,wcc
261,vermont,vermont-catamounts,Vermont,Vermont Catamounts,AEC,America East,america-east
2612,saint-peters,st-peters-peacocks,St. Peter's,St. Peter's Peacocks,MAAC,Metro Atlantic Athletic,maac
2617,stephen-f-austin,stephen-f-austin-lumberjacks,Stephen F. Austin,Stephen F. Austin Lumberjacks,Southland,Southland,southland
2619,stony-brook,stony-brook-seawolves,Stony Brook,Stony Brook Seawolves,AEC,America East,america-east
2623,missouri-state,missouri-st-bears,Missouri State,Missouri St. Bears,MVC,Missouri Valley,mvc
2628,texas-christian,texas-christian-horned-frogs,TCU,TCU Horned Frogs,Big 12,Big 12,big-12
2630,tennessee-martin,tenn-martin-skyhawks,Tennessee-Martin,Tennessee-Martin Skyhawks,OVC,Ohio Valley,ovc
