espn_id,sportsref_id,teamrankings_id,friendly_school,friendly_full,conf_abbrev,conf_friendly,conf_sportsref_id
278,fresno-state,fresno-st-bulldogs,Fresno State,Fresno St. Bulldogs,MWC,Mountain West,mwc
279,pacific,pacific-tigers,Pacific,Pacific Tigers,Big West,Big West,big-west
2803,bryant,bryant-bulldogs,Bryant,Bryant Bulldogs,NEC,Northeast,northeast
282,indiana-state,indiana-st-sycamores,Indiana State,Indiana St. Sycamores,MVC,Missouri Valley,mvc
2870,ipfw,iupu-ft-wayne-mastodons,IPFW,IUPU Ft Wayne Mastodons,Summit,Summit League,summit
288,lipscomb,lipscomb-bison,Lipscomb,Lipscomb Bison,A-Sun,Atlantic Sun,atlantic-sun
2885,njit,new-jersey-tech-highlanders,NJIT,New Jersey Tech Highlanders,GWC,Great West,great-west
290,georgia-southern,georgia-st-panthers,Georgia Southern,Georgia St. Panthers,Southern,Southern,southern
2908,south-carolina-upstate,south-carolina-upstate-spartans,USC Upstate,South Carolina Upstate Spartans,A-Sun,Atlantic Sun,atlantic-sun
292,texas-pan-american,texas-pan-american-broncs,Texas-Pan American,Texas-Pan American Broncs,GWC,Great West,great-west
2934,cal-state-bakersfield,cal-state-bakersfield-roadrunners,Cal State Bakersfield,Cal State Bakersfield Roadrunners,Independent,Independent,independent
294,jacksonville,jacksonville-dolphins,Jacksonville,Jacksonville Dolphins,A-Sun,Atlantic Sun,atlantic-sun
295,old-dominion,old-dominion-monarchs,Old Dominion,Old Dominion Monarchs,CAA,Colonial Athletic Association,colonial
299,long-beach-state,long-beach-st-49ers,Long Beach State,Long Beach St. 49ers,Big West,Big West,big-west
30,usc,southern-california-trojans,USC,Southern California Trojans,Pac-12,Pacific-12,pac-12
300,california-irvine,uc-irvine-anteaters,UC Irvine,UC Irvine Anteaters,Big West,Big West,big-west
301,san-diego,san-diego-toreros,San Diego,San Diego Toreros,WCC,West Coast,wcc
302,california-davis,uc-davis-aggies,UC Davis,UC Davis Aggies,Big West,Big West,big-west
304,idaho-state,idaho-state-bengals,Idaho State,Idaho State Bengals,Big Sky,Big Sky,big-sky
305,depaul,depaul-blue-demons,DePaul,Depaul Blue Demons,Big East,Big East,big-east
3084,utah-valley,utah-valley-wolverines,Utah Valley,Utah Valley Wolverines,GWC,Great West,great-west
309,louisiana-lafayette,louisiana-lafayette-ragin-cajuns,Louisiana-Lafayette,Louisiana Lafayette Ragin Cajuns,Sun Belt,Sun Belt,sun-belt
311,maine,maine-black-bears,Maine,Maine Black Bears,AEC,America East,america-east
314,iona,iona-gaels,Iona,Iona Gaels,MAAC,Metro Atlantic Athletic,maac
315,niagara,niagara-purple-eagles,Niagara,Niagara Purple Eagles,MAAC,Metro Atlantic Athletic,maac
322,lafayette,lafayette-leopards,Lafayette,Lafayette Leopards,Patriot,Patriot League,patriot
324,coastal-carolina,coastal-carolina-chanticleers,Coastal Carolina,Coastal Carolina Chanticleers,Big South,Big South,big-south
325,cleveland-state,cleveland-st-vikings,Cleveland State,Cleveland St. Vikings,Horizon,Horizon League,horizon
326,texas-state,texas-state-bobcats,Texas State,Texas State Bobcats,WAC,Western Athletic,wac
328,utah-state,utah-st-aggies,Utah State,Utah State Aggies,WAC,Western Athletic,wac
331,eastern-washington,eastern-washington-eagles,Eastern Washington,Eastern Washington Eagles,Big Sky,Big Sky,big-sky
333,alabama,alabama-crimson-tide,Alabama,Alabama Crimson Tide,SEC,Southeastern,sec
338,kennesaw-state,kennesaw-st-fighting-owls,Kennesaw State,Kennesaw St. Fighting Owls,A-Sun,Atlantic Sun,atlantic-sun
339,evansville,evansville-purple-aces,Evansville,Evansville Purple Aces,MVC,Missouri Valley,mvc
344,mississippi-state,mississippi-st-bulldogs,Mississippi State,Mississippi St. Bulldogs,SEC,Southeastern,sec
349,army,army-black-knights,Army,Army Black Knights,Patriot,Patriot League,patriot
350,north-carolina-wilmington,nc-wilmington-seahawks,North Carolina-Wilmington,North Carolina-Wilmington Seahawks,CAA,Colonial Athletic Association,colonial
356,illinois,illinois-fighting-illini,Illinois,Illinois Fighting Illini,Big Ten,Big Ten,big-ten
357,texas-am-corpus-christi,texas-am-cc-islanders,Texas A&M-CC,Texas A&M-CC Islanders,Southland,Southland,southland
36,colorado-state,colorado-st-rams,Colorado State,Colorado St. Rams,MWC,Mountain West,mwc
38,colorado,colorado-buffaloes,Colorado,Colorado Buffaloes,Pac-12,Pacific-12,pac-12
399,albany-ny,albany-great-danes,Albany,Albany Great Danes,AEC,America East,america-east
41,connecticut,connecticut-huskies,Connecticut,Connecticut Huskies,Big East,Big East,big-east
42,hartford,hartford-hawks,Hartford,Hartford Hawks,AEC,America East,america-east
43,yale,yale-bulldogs,Yale,Yale Bulldogs,Ivy,Ivy Group,ivy
44,american,american-u-eagles,American,American U Eagles,Patriot,Patriot League,patriot
45,george-washington,george-washington-colonials,George Washington,George Washington Colonials,A-10,Atlantic 10,atlantic-10
46,georgetown,georgetown-hoyas,Georgetown,Georgetown Hoyas,Big East,Big East,big-east
47,howard,howard-bison,Howard,Howard Bison,MEAC,Mid-Eastern Athletic,meac
48,delaware,delaware-blue-hens,Delaware,Delaware Blue Hens,CAA,Colonial Athletic Association,colonial
5,uab,uab-blazers,UAB,UAB Blazers,CUSA,Conference USA,cusa
50,florida-am,florida-am-rattlers,Florida A&M,Florida A&M Rattlers,MEAC,Mid-Eastern Athletic,meac
52,florida-state,florida-st-seminoles,Florida State,Florida St. Seminoles,ACC,Atlantic Coast,acc
526,florida-gulf-coast,florida-gulf-coast-eagles,Florida Gulf Coast,Florida Gulf Coast Eagles,A-Sun,Atlantic Sun,atlantic-sun
55,jacksonville-state,jacksonville-st-gamecocks,Jacksonville State,Jacksonville St. Gamecocks,OVC,Ohio Valley,ovc
56,stetson,stetson-hatters,Stetson,Stetson Hatters,A-Sun,Atlantic Sun,atlantic-sun
57,florida,florida-gators,Florida,Florida Gators,SEC,Southeastern,sec
58,south-florida,south-florida-bulls,South Florida,South Florida Bulls,Big East,Big East,big-east
59,georgia-tech,georgia-tech-yellow-jackets,Georgia Tech,Georgia Tech Yellow Jackets,ACC,Atlantic Coast,acc
6,south-alabama,south-alabama-jaguars,South Alabama,South Alabama Jaguars,Sun Belt,Sun Belt,sun-belt
61,georgia,georgia-bulldogs,Georgia,Georgia Bulldogs,SEC,Southeastern,sec
62,hawaii,hawaii-warriors,Hawaii,Hawaii Warriors,Big West,Big West,big-west
66,iowa-state,iowa-st-cyclones,Iowa State,Iowa St. Cyclones,Big 12,Big 12,big-12
68,boise-state,boise-st-broncos,Boise State,Boise St. Broncos,MWC,Mountain West,mwc
70,idaho,idaho-vandals,Idaho,Idaho Vandals,WAC,Western Athletic,wac
71,bradley,bradley-braves,Bradley,Bradley Braves,MVC,Missouri Valley,mvc
77,northwestern,northwestern-wildcats,Northwestern,Northwestern Wildcats,Big Ten,Big Ten,big-ten
79,southern-illinois,southern-illinois-salukis,Southern Illinois,Southern Illinois Salukis,MVC,Missouri Valley,mvc
8,arkansas,arkansas-razorbacks,Arkansas,Arkansas Razorbacks,SEC,Southeastern,sec
82,illinois-chicago,illinois-chicago-flames,Illinois-Chicago,Illinois Chicago Flames,Horizon,Horizon League,horizon
84,indiana,indiana-hoosiers,Indiana,Indiana Hoosiers,Big Ten,Big Ten,big-ten
85,iupui,indiana-purdue-jaguars,IUPUI,Indiana Purdue Jaguars,Summit,Summit League,summit
87,notre-dame,notre-dame-fighting-irish,Notre Dame,Notre Dame Fighting Irish,Big East,Big East,big-east
9,arizona-state,arizona-st-sun-devils,Arizona State,Arizona St. Sun Devils,Pac-12,Pacific-12,pac-12
93,murray-state,murray-st-racers,Murray State,Murray State Racers,OVC,Ohio Valley,ovc
94,northern-kentucky,northern-kentucky-norse,Northern Kentucky,Northern Kentucky Norse,A-Sun,Atlantic Sun,atlantic-sun
96,kentucky,kentucky-wildcats,Kentucky,Kentucky Wildcats,SEC,Southeastern,sec
97,louisville,louisville-cardinals,Louisville,Louisville Cardinals,Big East,Big East,big-east
98,western-kentucky,western-kentucky-hilltoppers,Western Kentucky,Western Kentucky Hilltoppers,Sun Belt,Sun Belt,sun-belt
99,lsu,louisiana-state-tigers,LSU,Louisiana State Tigers,SEC,Southeastern,sec
