espn_game_id,date_time,away_espn_id,away_friendly_school,away_score,home_espn_id,home_friendly_school,home_score,conf_friendly
323140251,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),278,Fresno State,53,251,Texas,55,Nonconference
323140252,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2634,Tennessee State,66,252,Brigham Young,81,Nonconference
323140254,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2930,,47,254,Utah,104,Nonconference
323140257,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2335,Liberty,42,257,Richmond,84,Nonconference
323140270,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),559,,46,270,Milwaukee,76,Nonconference
323140276,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2344,Longwood,47,276,Marshall,81,Nonconference
323140295,Fri Nov 09 2012 19:15:00 GMT-0500 (Eastern Standard Time),107,Holy Cross,46,295,Old Dominion,45,Nonconference
323140301,Fri Nov 09 2012 22:00:00 GMT-0500 (Eastern Standard Time),3096,,58,301,San Diego,91,Nonconference
323140305,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),27,UC Riverside,59,305,DePaul,91,Nonconference
323140314,Fri Nov 09 2012 20:15:00 GMT-0500 (Eastern Standard Time),2172,Denver,58,314,Iona,65,Nonconference
323140322,Fri Nov 09 2012 20:30:00 GMT-0500 (Eastern Standard Time),2597,St. Francis (NY),76,322,Lafayette,65,Nonconference
323140324,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2006,Akron,70,324,Coastal Carolina,74,Nonconference
323140325,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2755,Grambling State,49,325,Cleveland State,92,Nonconference
323140326,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2230,Fordham,76,326,Texas State,86,Nonconference
323140333,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),2571,South Dakota State,67,333,Alabama,70,Nonconference
323140344,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),344,Mississippi State,53,2653,Troy,56,Nonconference
323140356,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2142,Colgate,55,356,Illinois,75,Nonconference
323140399,Fri Nov 09 2012 18:30:00 GMT-0500 (Eastern Standard Time),2184,Duquesne,66,399,Albany,69,Nonconference
323142010,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2396,,48,2010,Alabama A&M,67,Nonconference
323142026,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2410,,54,2026,Appalachian State,86,Nonconference
323142031,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2630,Tennessee-Martin,68,2031,Arkansas-Little Rock,84,Nonconference
323142046,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2535,Samford,64,2046,Austin Peay,75,Nonconference
323142057,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),2057,Belmont,89,288,Lipscomb,60,Nonconference
323142097,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2047,,55,2097,Campbell,74,Nonconference
323142133,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2569,South Carolina State,81,2133,,62,Nonconference
323142166,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2212,,67,2166,Davidson,93,Nonconference
323142174,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),128,,53,2174,Detroit,88,Nonconference
323142198,Fri Nov 09 2012 19:30:00 GMT-0500 (Eastern Standard Time),3093,,56,2198,Eastern Kentucky,89,Nonconference
323142199,Fri Nov 09 2012 12:00:00 GMT-0500 (Eastern Standard Time),2947,,52,2199,Eastern Michigan,66,Nonconference
323142244,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),258,Virginia,59,2244,George Mason,63,Nonconference
323142250,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),253,Southern Utah,65,2250,Gonzaga,103,Nonconference
323142272,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2430,UNC Greensboro,73,2272,High Point,81,Nonconference
323142277,Fri Nov 09 2012 21:30:00 GMT-0500 (Eastern Standard Time),2277,Houston Baptist,72,2029,Arkansas Pine Bluff,68,Nonconference
323142294,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),292,Texas-Pan American,55,2294,Iowa,86,Nonconference
323142305,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2546,Southeast Missouri State,55,2305,Kansas,74,Nonconference
323142306,Fri Nov 09 2012 21:00:00 GMT-0500 (Eastern Standard Time),155,North Dakota,52,2306,Kansas State,85,Nonconference
323142309,Fri Nov 09 2012 19:00:00 GMT-0500 (Eastern Standard Time),2182,Drexel,62,2309,Kent State,66,Nonconference
323142341,Fri Nov 09 2012 17:45:00 GMT-0500 (Eastern Standard Time),2413,Morehead State,77,2341,,74,Nonconference
323142350,Fri Nov 09 2012 20:00:00 GMT-0500 (Eastern Standard Time),2649,Toledo,50,2350,Loyola Chicago,62,Nonconference
323142351,Fri Nov 09 2012 22:00:00 GMT-0500 (Eastern Standard Time),3184,,49,2351,Loyola Marymount,108,Nonconference
