Wk,Date,Rk,School,Prev,Chng,Conf
20,2014-03-17,1,Florida* RT,1,NC,SEC
20,2014-03-17,2,Wichita State* RT,2,NC,MVC
20,2014-03-17,3,Virginia* RT,6,3,ACC
20,2014-03-17,4,Arizona* R,4,NC,Pac-12
20,2014-03-17,5,Louisville* RT,5,NC,AAC
20,2014-03-17,6,Villanova* R,3,3,Big East
20,2014-03-17,7,Michigan* R,8,1,Big Ten
20,2014-03-17,8,Duke*,7,1,ACC
20,2014-03-17,9,Iowa State* T,16,7,Big 12
20,2014-03-17,10,Kansas* R,10,NC,Big 12
20,2014-03-17,11,Michigan State* T,22,11,Big Ten
20,2014-03-17,12,Wisconsin*,12,NC,Big Ten
20,2014-03-17,13,San Diego State* R,9,4,MWC
20,2014-03-17,14,Syracuse*,11,3,ACC
20,2014-03-17,15,Cincinnati* R,13,2,AAC
20,2014-03-17,16,Creighton*,14,2,Big East
20,2014-03-17,17,New Mexico* T,20,3,MWC
20,2014-03-17,18,Connecticut*,21,3,AAC
20,2014-03-17,19,North Carolina*,15,4,ACC
20,2014-03-17,20,UCLA* T,,,Pac-12
20,2014-03-17,21,Oklahoma*,17,4,Big 12
20,2014-03-17,22,Ohio State*,24,2,Big Ten
20,2014-03-17,23,Baylor*,,,Big 12
20,2014-03-17,24,Virginia Commonwealth*,23,1,A-10
20,2014-03-17,25,Saint Louis* R,18,7,A-10
Wk,Date,Rk,School,Prev,Chng,Conf
19,2014-03-10,1,Florida* RT,1,NC,SEC
19,2014-03-10,2,Wichita State* RT,2,NC,MVC
19,2014-03-10,3,Villanova* R,6,3,Big East
19,2014-03-10,4,Arizona* R,3,1,Pac-12
19,2014-03-10,5,Louisville* RT,11,6,AAC
19,2014-03-10,6,Virginia* RT,5,1,ACC
19,2014-03-10,7,Duke*,4,3,ACC
19,2014-03-10,8,Michigan* R,12,4,Big Ten
19,2014-03-10,9,San Diego State* R,10,1,MWC
19,2014-03-10,10,Kansas* R,8,2,Big 12
19,2014-03-10,11,Syracuse*,7,4,ACC
19,2014-03-10,12,Wisconsin*,9,3,Big Ten
