espn_id,sports_ref_id,teamrankings_id
2390,miami-fl,miami-florida-hurricanes
193,miami-oh,miami-oh-red-hawks
130,michigan,michigan-wolverines
127,michigan-state,michigan-st-spartans
2393,middle-tennessee,middle-tennessee-st-blue-raiders
270,milwaukee,wis-milwaukee-panthers
135,minnesota,minnesota-golden-gophers
145,mississippi,mississippi-rebels
344,mississippi-state,mississippi-st-bulldogs
2400,mississippi-valley-state,mississippi-valley-state-delta-devils
142,missouri,missouri-tigers
2623,missouri-state,missouri-st-bears
2405,monmouth,monmouth-nj-hawks
149,montana,montana-grizzlies
147,montana-state,montana-st-bobcats
2413,morehead-state,morehead-st-eagles
2415,morgan-state,morgan-st-bears
116,mount-st-marys,mount-st-marys-mountaineers
93,murray-state,murray-st-racers
2426,navy,navy-midshipmen
158,nebraska,nebraska-cornhuskers
2437,nebraska-omaha,nebraska-omaha-mavericks
2440,nevada,nevada-wolf-pack
160,new-hampshire,new-hampshire-wildcats
167,new-mexico,new-mexico-lobos
166,new-mexico-state,new-mexico-st-aggies
2443,new-orleans,new-orleans-privateers
315,niagara,niagara-purple-eagles
2447,nicholls-state,nicholls-state-colonels
2885,njit,new-jersey-tech-highlanders
2450,norfolk-state,norfolk-state-spartans
153,north-carolina,north-carolina-tar-heels
2427,north-carolina-asheville,nc-asheville-bulldogs
2448,north-carolina-at,nocarolina-at-aggies
2428,north-carolina-central,north-carolina-central-eagles
2430,north-carolina-greensboro,nc-greensboro-spartans
152,north-carolina-state,nc-state-wolfpack
350,north-carolina-wilmington,nc-wilmington-seahawks
155,north-dakota,north-dakota
2449,north-dakota-state,north-dakota-state-bison
2454,north-florida,north-florida-osprey
249,north-texas,north-texas-mean-green-eagles
111,northeastern,northeastern-huskies
2464,northern-arizona,northern-arizona-lumberjacks
2458,northern-colorado,northern-colorado-bears
2459,northern-illinois,northern-illinois-huskies
2460,northern-iowa,northern-iowa-panthers
94,northern-kentucky,northern-kentucky-norse
77,northwestern,northwestern-wildcats
2466,northwestern-state,northwestern-st-demons
87,notre-dame,notre-dame-fighting-irish
2473,oakland,oakland-golden-grizzlies
195,ohio,ohio-bobcats
194,ohio-state,ohio-st-buckeyes
201,oklahoma,oklahoma-sooners
197,oklahoma-state,oklahoma-st-cowboys
295,old-dominion,old-dominion-monarchs
198,oral-roberts,oral-roberts-golden-eagles
2483,oregon,oregon-ducks
204,oregon-state,oregon-st-beavers
279,pacific,pacific-tigers
213,penn-state,penn-st-nittany-lions
219,pennsylvania,pennsylvania-quakers
2492,pepperdine,pepperdine-waves
221,pittsburgh,pittsburgh-panthers
2501,portland,portland-pilots
2502,portland-state,portland-st-vikings
2504,prairie-view,prairie-view-am-panthers
2506,presbyterian,presbyterian-blue-hose
163,princeton,princeton-tigers
2507,providence,providence-friars
2509,purdue,purdue-boilermakers
2514,quinnipiac,quinnipiac-bobcats
2515,radford,radford-highlanders
227,rhode-island,rhode-island-rams
242,rice,rice-owls
257,richmond,richmond-spiders
2520,rider,rider-broncs
2523,robert-morris,robert-morris-colonials
164,rutgers,rutgers-scarlet-knights
16,sacramento-state,sacramento-state-hornets
2529,sacred-heart,sacred-heart-pioneers
2598,saint-francis-pa,st-francis-pa-red-flash
2603,saint-josephs,st-josephs-hawks
139,saint-louis,saint-louis-billikens
2608,saint-marys-ca,st-marys-gaels
2612,saint-peters,st-peters-peacocks
2534,sam-houston-state,sam-houston-st-bearkats
2535,samford,samford-bulldogs
301,san-diego,san-diego-toreros
21,san-diego-state,san-diego-st-aztecs
2539,san-francisco,san-francisco-dons
23,san-jose-state,san-jose-st-spartans
2541,santa-clara,santa-clara-broncos
2542,savannah-state,savannah-state-tigers
2547,seattle,seattle-redhawks
2550,seton-hall,seton-hall-pirates
2561,siena,siena-saints
6,south-alabama,south-alabama-jaguars
2579,south-carolina,south-carolina-gamecocks
2569,south-carolina-state,south-carolina-state-bulldogs
2908,south-carolina-upstate,south-carolina-upstate-spartans
233,south-dakota,south-dakota-coyotes
2571,south-dakota-state,south-dakota-state-jackrabbits
58,south-florida,south-florida-bulls
2546,southeast-missouri-state,se-missouri-st-redhawks
2545,southeastern-louisiana,southeastern-louisiana-lions
