team_id,conf_abbrev,conf_friendly,conf_id
santa-clara,WCC,West Coast,wcc
savannah-state,MEAC,Mid-Eastern Athletic,meac
seattle,WAC,Western Athletic,wac
seton-hall,Big East,Big East,big-east
siena,MAAC,Metro Atlantic Athletic,maac
south-alabama,Sun Belt,Sun Belt,sun-belt
south-carolina-state,MEAC,Mid-Eastern Athletic,meac
south-carolina-upstate,A-Sun,Atlantic Sun,atlantic-sun
south-carolina,SEC,Southeastern,sec
south-dakota-state,Summit,Summit League,summit
south-dakota,Summit,Summit League,summit
south-florida,Big East,Big East,big-east
southeast-missouri-state,OVC,Ohio Valley,ovc
southeastern-louisiana,Southland,Southland,southland
southern-california,Pac-12,Pacific-12,pac-12
southern-illinois-edwardsville,OVC,Ohio Valley,ovc
southern-illinois,MVC,Missouri Valley,mvc
southern-methodist,CUSA,Conference USA,cusa
southern-mississippi,CUSA,Conference USA,cusa
southern-utah,Big Sky,Big Sky,big-sky
southern,SWAC,Southwest Athletic,swac
st-bonaventure,A-10,Atlantic 10,atlantic-10
st-francis-ny,NEC,Northeast,northeast
st-johns-ny,Big East,Big East,big-east
stanford,Pac-12,Pacific-12,pac-12
stephen-f-austin,Southland,Southland,southland
stetson,A-Sun,Atlantic Sun,atlantic-sun
stony-brook,AEC,America East,america-east
syracuse,Big East,Big East,big-east
temple,A-10,Atlantic 10,atlantic-10
tennessee-martin,OVC,Ohio Valley,ovc
tennessee-state,OVC,Ohio Valley,ovc
tennessee-tech,OVC,Ohio Valley,ovc
tennessee,SEC,Southeastern,sec
texas-am-corpus-christi,Southland,Southland,southland
texas-am,SEC,Southeastern,sec
texas-arlington,WAC,Western Athletic,wac
texas-christian,Big 12,Big 12,big-12
texas-el-paso,CUSA,Conference USA,cusa
texas-pan-american,GWC,Great West,great-west
texas-san-antonio,WAC,Western Athletic,wac
texas-southern,SWAC,Southwest Athletic,swac
texas-state,WAC,Western Athletic,wac
texas-tech,Big 12,Big 12,big-12
texas,Big 12,Big 12,big-12
toledo,MAC,Mid-American,mac
towson,CAA,Colonial Athletic Association,colonial
troy,Sun Belt,Sun Belt,sun-belt
tulane,CUSA,Conference USA,cusa
tulsa,CUSA,Conference USA,cusa
ucla,Pac-12,Pacific-12,pac-12
utah-state,WAC,Western Athletic,wac
utah-valley,GWC,Great West,great-west
utah,Pac-12,Pacific-12,pac-12
valparaiso,Horizon,Horizon League,horizon
vanderbilt,SEC,Southeastern,sec
vermont,AEC,America East,america-east
villanova,Big East,Big East,big-east
virginia-commonwealth,A-10,Atlantic 10,atlantic-10
virginia-military-institute,Big South,Big South,big-south
virginia-tech,ACC,Atlantic Coast,acc
virginia,ACC,Atlantic Coast,acc
wagner,NEC,Northeast,northeast
wake-forest,ACC,Atlantic Coast,acc
washington-state,Pac-12,Pacific-12,pac-12
washington,Pac-12,Pacific-12,pac-12
weber-state,Big Sky,Big Sky,big-sky
west-virginia,Big 12,Big 12,big-12
western-carolina,Southern,Southern,southern
western-illinois,Summit,Summit League,summit
western-kentucky,Sun Belt,Sun Belt,sun-belt
western-michigan,MAC,Mid-American,mac
wichita-state,MVC,Missouri Valley,mvc
william-mary,CAA,Colonial Athletic Association,colonial
winthrop,Big South,Big South,big-south
wisconsin,Big Ten,Big Ten,big-ten
wofford,Southern,Southern,southern
wright-state,Horizon,Horizon League,horizon
wyoming,MWC,Mountain West,mwc
xavier,A-10,Atlantic 10,atlantic-10
yale,Ivy,Ivy Group,ivy
youngstown-state,Horizon,Horizon League,horizon
