Wk,Date,Rk,School,ID,Rating,Prev,High,Low
21,2013-03-25,1,Duke,duke-blue-devils,0.678,1,1,32
21,2013-03-25,2,Louisville,louisville-cardinals,0.661,2,2,172
21,2013-03-25,3,New Mexico,new-mexico-lobos,0.659,3,2,188
21,2013-03-25,4,Miami (FL),miami-florida-hurricanes,0.657,4,2,176
21,2013-03-25,5,Michigan St,michigan-st-spartans,0.648,5,4,232
21,2013-03-25,6,Kansas,kansas-jayhawks,0.648,6,2,239
21,2013-03-25,7,Indiana,indiana-hoosiers,0.643,7,4,269
21,2013-03-25,8,Ohio State,ohio-st-buckeyes,0.641,9,5,167
21,2013-03-25,9,Florida,florida-gators,0.640,10,3,71
21,2013-03-25,10,Gonzaga,gonzaga-bulldogs,0.639,8,5,336
21,2013-03-25,11,Marquette,marquette-golden-eagles,0.635,11,9,188
21,2013-03-25,12,Syracuse,syracuse-orange,0.632,12,3,263
21,2013-03-25,13,Memphis,memphis-tigers,0.631,13,11,280
21,2013-03-25,14,Arizona,arizona-wildcats,0.629,14,2,275
21,2013-03-25,15,Michigan,michigan-wolverines,0.628,15,2,37
21,2013-03-25,16,Georgetown,georgetown-hoyas,0.627,16,7,169
21,2013-03-25,17,N Carolina,north-carolina-tar-heels,0.619,17,7,134
21,2013-03-25,18,Saint Louis,saint-louis-billikens,0.619,18,16,296
21,2013-03-25,19,Butler,butler-bulldogs,0.615,19,2,269
21,2013-03-25,20,Colorado St,colorado-st-rams,0.613,21,8,303
21,2013-03-25,21,Creighton,creighton-bluejays,0.612,20,7,233
21,2013-03-25,22,Kansas St,kansas-st-wildcats,0.612,22,16,182
21,2013-03-25,23,Belmont,belmont-bruins,0.611,24,1,264
21,2013-03-25,24,VCU,vcu-rams,0.610,25,16,127
21,2013-03-25,25,Wichita St,wichita-st-shockers,0.610,23,8,86
21,2013-03-25,26,St Marys,st-marys-gaels,0.608,26,24,243
21,2013-03-25,27,UNLV,unlv-runnin-rebels,0.606,27,6,191
21,2013-03-25,28,La Salle,la-salle-explorers,0.604,36,24,250
21,2013-03-25,29,Minnesota,minnesota-golden-gophers,0.604,28,3,185
21,2013-03-25,30,Wisconsin,wisconsin-badgers,0.603,30,13,163
21,2013-03-25,31,S Mississippi,southern-miss-golden-eagles,0.602,31,6,147
21,2013-03-25,32,Oklahoma St,oklahoma-st-cowboys,0.601,33,2,251
21,2013-03-25,33,UCLA,ucla-bruins,0.601,32,23,278
21,2013-03-25,34,Middle Tenn,middle-tennessee-st-blue-raiders,0.600,35,19,88
21,2013-03-25,35,San Diego St,san-diego-st-aztecs,0.599,29,23,274
21,2013-03-25,36,Oregon,oregon-ducks,0.598,37,16,301
21,2013-03-25,37,NC State,nc-state-wolfpack,0.598,38,2,107
21,2013-03-25,38,Illinois,illinois-fighting-illini,0.598,34,3,86
21,2013-03-25,39,Temple,temple-owls,0.593,39,25,329
21,2013-03-25,40,Missouri,missouri-tigers,0.591,41,6,152
21,2013-03-25,41,Iowa State,iowa-st-cyclones,0.591,40,26,293
21,2013-03-25,42,Colorado,colorado-buffaloes,0.590,44,1,298
21,2013-03-25,43,Notre Dame,notre-dame-fighting-irish,0.590,43,30,98
21,2013-03-25,44,Mississippi,mississippi-rebels,0.587,42,31,199
21,2013-03-25,45,Pittsburgh,pittsburgh-panthers,0.587,45,27,190
21,2013-03-25,46,Oklahoma,oklahoma-sooners,0.586,46,13,337
21,2013-03-25,47,Akron,akron-zips,0.584,47,34,285
21,2013-03-25,48,Connecticut,connecticut-huskies,0.583,49,1,50
21,2013-03-25,49,Boise State,boise-st-broncos,0.582,48,22,205
21,2013-03-25,50,Cincinnati,cincinnati-bearcats,0.581,50,16,205
21,2013-03-25,51,California,california-golden-bears,0.579,51,14,177
21,2013-03-25,52,Bucknell,bucknell-bison,0.578,52,2,181
21,2013-03-25,53,LA Tech,louisiana-tech-bulldogs,0.578,53,12,225
