Wk,Date,Rk,School,ID,Rating,Prev,High,Low
06,2012-12-10,1,Duke,duke-blue-devils,0.785,1,1,32
06,2012-12-10,2,Michigan,michigan-wolverines,0.747,2,2,37
06,2012-12-10,3,Colorado,colorado-buffaloes,0.702,3,1,298
06,2012-12-10,4,Florida,florida-gators,0.694,4,3,71
06,2012-12-10,5,New Mexico,new-mexico-lobos,0.684,5,2,188
06,2012-12-10,6,Illinois,illinois-fighting-illini,0.683,6,3,86
06,2012-12-10,7,Texas A&M,texas-am-aggies,0.678,7,2,301
06,2012-12-10,8,Butler,butler-bulldogs,0.673,8,2,269
06,2012-12-10,9,Kansas,kansas-jayhawks,0.670,10,2,239
06,2012-12-10,10,Indiana,indiana-hoosiers,0.669,9,4,269
06,2012-12-10,11,Syracuse,syracuse-orange,0.663,11,3,263
06,2012-12-10,12,NC State,nc-state-wolfpack,0.662,12,2,107
06,2012-12-10,13,Ste F Austin,stephen-f-austin-lumberjacks,0.661,16,8,339
06,2012-12-10,14,Minnesota,minnesota-golden-gophers,0.661,13,3,185
06,2012-12-10,15,Arizona,arizona-wildcats,0.660,14,2,275
06,2012-12-10,16,Louisville,louisville-cardinals,0.657,15,2,172
06,2012-12-10,17,Wichita St,wichita-st-shockers,0.647,18,8,86
06,2012-12-10,18,Connecticut,connecticut-huskies,0.645,17,1,50
06,2012-12-10,19,Georgetown,georgetown-hoyas,0.645,19,7,169
06,2012-12-10,20,Gonzaga,gonzaga-bulldogs,0.644,21,5,336
06,2012-12-10,21,UNLV,unlv-runnin-rebels,0.641,35,6,191
06,2012-12-10,22,LSU,louisiana-state-tigers,0.627,22,15,185
06,2012-12-10,23,IL-Chicago,illinois-chicago-flames,0.626,23,18,286
06,2012-12-10,24,Ohio State,ohio-st-buckeyes,0.623,24,5,167
06,2012-12-10,25,Creighton,creighton-bluejays,0.623,25,7,233
06,2012-12-10,26,Oklahoma,oklahoma-sooners,0.618,26,13,337
