Wk,Date,Rk,School,ID,Rating,Prev,High,Low
16,2013-02-18,239,Colgate,colgate-raiders,0.457,239,19,321
16,2013-02-18,240,McNeese St,mcneese-st-cowboys,0.455,240,43,255
16,2013-02-18,241,Bowling Grn,bowling-green-falcons,0.454,242,38,342
16,2013-02-18,242,Delaware St,delaware-state-hornets,0.453,241,127,287
16,2013-02-18,243,Lipscomb,lipscomb-bison,0.453,244,19,287
16,2013-02-18,244,San Jose St,san-jose-st-spartans,0.453,246,139,346
16,2013-02-18,245,Loyola Mymt,loyola-marymount-lions,0.452,245,47,262
16,2013-02-18,246,Jacksonville,jacksonville-dolphins,0.452,247,154,316
16,2013-02-18,247,TN Tech,tennessee-tech-golden-eagles,0.451,248,49,287
16,2013-02-18,248,American,american-u-eagles,0.450,252,9,301
16,2013-02-18,249,Monmouth,monmouth-nj-hawks,0.450,249,82,278
16,2013-02-18,250,W Carolina,western-carolina-catamounts,0.449,251,96,321
16,2013-02-18,251,Holy Cross,holy-cross-crusaders,0.449,243,2,261
16,2013-02-18,252,Columbia,columbia-lions,0.448,250,164,321
16,2013-02-18,253,North Texas,north-texas-mean-green-eagles,0.447,253,59,279
16,2013-02-18,254,CS Fullerton,cal-st-fullerton-titans,0.447,254,111,324
16,2013-02-18,255,Coastal Car,coastal-carolina-chanticleers,0.446,255,46,341
16,2013-02-18,256,App State,appalachian-st-mountaineers,0.445,264,254,347
16,2013-02-18,257,North Dakota,north-dakota,0.445,256,107,346
16,2013-02-18,258,Central Mich,central-michigan-chippewas,0.444,259,17,330
16,2013-02-18,259,N Arizona,northern-arizona-lumberjacks,0.444,258,20,341
16,2013-02-18,260,Brown,brown-bears,0.444,257,102,317
16,2013-02-18,261,Wofford,wofford-terriers,0.444,260,46,270
16,2013-02-18,262,Miami (OH),miami-oh-red-hawks,0.443,261,47,287
16,2013-02-18,263,Maine,maine-black-bears,0.441,262,224,344
16,2013-02-18,264,E Tenn St,east-tennessee-st-buccaneers,0.440,265,95,314
16,2013-02-18,265,Samford,samford-bulldogs,0.440,266,155,346
16,2013-02-18,266,Marist,marist-red-foxes,0.439,263,57,302
16,2013-02-18,267,Ball State,ball-st-cardinals,0.438,268,106,291
16,2013-02-18,268,NC A&T,nocarolina-at-aggies,0.438,267,183,340
16,2013-02-18,269,Troy,troy-trojans,0.437,269,13,310
16,2013-02-18,270,Morgan St,morgan-st-bears,0.437,270,1,299
16,2013-02-18,271,Chattanooga,chattanooga-mocs,0.436,271,228,337
16,2013-02-18,272,NC-Wilmgton,nc-wilmington-seahawks,0.436,272,37,306
16,2013-02-18,273,South Dakota,south-dakota-coyotes,0.436,274,97,341
16,2013-02-18,274,Nicholls St,nicholls-state-colonels,0.435,273,130,339
16,2013-02-18,275,CS Bakersfld,cal-state-bakersfield-roadrunners,0.434,275,195,341
16,2013-02-18,276,Wm & Mary,william--mary-tribe,0.433,276,49,308
16,2013-02-18,277,Winthrop,winthrop-eagles,0.431,277,120,346
16,2013-02-18,278,GA Southern,georgia-southern-eagles,0.431,279,24,298
16,2013-02-18,279,Hampton,hampton-pirates,0.431,278,50,347
16,2013-02-18,280,Seattle,seattle-redhawks,0.430,280,38,310
16,2013-02-18,281,N Colorado,northern-colorado-bears,0.429,282,190,343
16,2013-02-18,282,Campbell,campbell-fighting-camels,0.428,283,222,341
16,2013-02-18,283,N Kentucky,northern-kentucky-norse,0.428,281,1,345
16,2013-02-18,284,Utah Val St,utah-valley-wolverines,0.426,285,120,325
16,2013-02-18,285,TX-San Ant,texas-san-antonio-roadrunners,0.426,284,2,298
16,2013-02-18,286,Neb Omaha,nebraska-omaha-mavericks,0.425,286,77,335
16,2013-02-18,287,E Illinois,eastern-illinois-panthers,0.423,288,132,331
16,2013-02-18,288,Texas State,texas-state-bobcats,0.423,287,78,303
16,2013-02-18,289,UMKC,umkc-kangaroos,0.422,289,122,310
16,2013-02-18,290,NJIT,new-jersey-tech-highlanders,0.421,290,211,328
16,2013-02-18,291,Beth-Cook,bethune-cookman-wildcats,0.421,291,60,323
16,2013-02-18,292,IPFW,iupu-ft-wayne-mastodons,0.421,293,101,311
16,2013-02-18,293,LA Monroe,louisiana-monroe-warhawks,0.421,294,134,344
16,2013-02-18,294,U Penn,pennsylvania-quakers,0.420,292,131,346
16,2013-02-18,295,F Dickinson,fairleigh-dickinson-knights,0.419,295,52,343
16,2013-02-18,296,Siena,siena-saints,0.419,300,36,329
16,2013-02-18,297,Sac State,sacramento-state-hornets,0.419,296,115,336
16,2013-02-18,298,St Peters,st-peters-peacocks,0.419,299,3,325
16,2013-02-18,299,SIU Edward,siu-edwardsville-cougars,0.419,297,22,330
16,2013-02-18,300,S Utah,southern-utah-thunderbirds,0.418,301,228,347
16,2013-02-18,301,N Hampshire,new-hampshire-wildcats,0.418,298,97,316
16,2013-02-18,302,Coppin State,coppin-st-eagles,0.416,302,56,338
16,2013-02-18,303,Houston Bap,houston-baptist-huskies,0.415,303,6,345
16,2013-02-18,304,Radford,radford-highlanders,0.413,304,165,343
16,2013-02-18,305,Central Ark,central-arkansas-bears,0.411,305,178,338
16,2013-02-18,306,TN Martin,tenn-martin-skyhawks,0.411,306,71,339
16,2013-02-18,307,IUPUI,indiana-purdue-jaguars,0.410,308,45,328
16,2013-02-18,308,Dartmouth,dartmouth-big-green,0.409,307,226,347
16,2013-02-18,309,Alcorn State,alcorn-st-braves,0.409,310,104,341
16,2013-02-18,310,VA Military,vmi-keydets,0.407,311,12,344
16,2013-02-18,311,Rice,rice-owls,0.407,312,84,337
16,2013-02-18,312,WI-Milwkee,wis-milwaukee-panthers,0.406,309,101,332
16,2013-02-18,313,Austin Peay,austin-peay-governors,0.406,313,101,342
16,2013-02-18,314,Hofstra,hofstra-pride,0.406,314,46,327
16,2013-02-18,315,Chicago St,chicago-st-cougars,0.404,315,199,340
16,2013-02-18,316,E Washingtn,eastern-washington-eagles,0.403,316,30,334
16,2013-02-18,317,Maryland BC,md-baltimore-cty-retrievers,0.402,318,74,343
16,2013-02-18,318,N Illinois,northern-illinois-huskies,0.402,317,66,334
16,2013-02-18,319,TX-Pan Am,texas-pan-american-broncs,0.402,319,266,346
16,2013-02-18,320,St Fran (PA),st-francis-pa-red-flash,0.401,320,117,345
