espn_id,school
2427,unc-asheville-bulldogs
2428,north-carolina-central-eagles
2429,charlotte-49ers
2430,unc-greensboro-spartans
2433,louisiana-monroe-warhawks
2437,nebraska-omaha-mavericks
2439,unlv-rebels
2440,nevada-wolf-pack
2443,new-orleans-privateers
2447,nicholls-state-colonels
2448,north-carolina-a&t-aggies
2449,north-dakota-state-bison
2450,norfolk-state-spartans
2454,north-florida-ospreys
2458,northern-colorado-bears
2459,northern-illinois-huskies
2460,northern-iowa-panthers
2463,cal-state-northridge-matadors
2464,northern-arizona-lumberjacks
2466,northwestern-state-demons
2473,oakland-golden-grizzlies
2483,oregon-ducks
2492,pepperdine-waves
2501,portland-pilots
2502,portland-state-vikings
2504,prairie-view-a&m-panthers
2506,presbyterian-blue-hose
2507,providence-friars
2509,purdue-boilermakers
2514,quinnipiac-bobcats
2515,radford-highlanders
2520,rider-broncs
2523,robert-morris-colonials
2529,sacred-heart-pioneers
2534,sam-houston-state-bearkats
2535,samford-bulldogs
2539,san-francisco-dons
2540,uc-santa-barbara-gauchos
2541,santa-clara-broncos
2542,savannah-state-tigers
2545,southeastern-louisiana-lions
2546,southeast-missouri-state-redhawks
2547,seattle-redhawks
2550,seton-hall-pirates
2561,siena-saints
2565,siu-edwardsville-cougars
2567,southern-methodist-mustangs
2569,south-carolina-state-bulldogs
2571,south-dakota-state-jackrabbits
2572,southern-miss-golden-eagles
2579,south-carolina-gamecocks
2582,southern-university-jaguars
2597,st.-francis-(ny)-terriers
2598,st.-francis-u-red-flash
2599,st.-john's-red-storm
2603,saint-joseph's-hawks
2608,saint-mary's-gaels
2612,st.-peter's-peacocks
2617,stephen-f.-austin-lumberjacks
2619,stony-brook-seawolves
2623,missouri-state-bears
2628,tcu-horned-frogs
2630,tennessee-martin-skyhawks
2633,tennessee-volunteers
2634,tennessee-state-tigers
2635,tennessee-tech-golden-eagles
2636,utsa-roadrunners
2638,utep-miners
2640,texas-southern-tigers
2641,texas-tech-red-raiders
2643,citadel-bulldogs
2649,toledo-rockets
2653,troy-trojans
2655,tulane-green-wave
2670,virginia-commonwealth-rams
2674,valparaiso-crusaders
2678,virginia-military-keydets
2681,wagner-seahawks
2692,weber-state-wildcats
2710,western-illinois-leathernecks
2711,western-michigan-broncos
2717,western-carolina-catamounts
2724,wichita-state-shockers
2729,william-&-mary-tribe
2737,winthrop-eagles
2739,green-bay-phoenix
2747,wofford-terriers
2750,wright-state-raiders
